50 L
50 
1 3
2 3
3 3
4 5
5 4
6 5
7 3
8 2
9 3
10 3
11 4
12 4
13 2
14 5
15 3
16 2
17 4
18 2
19 4
20 4
21 2
22 4
23 5
24 4
25 5
26 5
27 2
28 3
29 5
30 3
31 3
32 5
33 4
34 2
35 5
36 3
37 2
38 4
39 4
40 3
41 2
42 3
43 3
44 5
45 4
46 4
47 3
48 2
49 4
50 5
13 15 36196.35791041602
11 15 48130.879885126735
49 15 72688.94478746328
30 13 35987.46084830039
1 30 94410.31545100379
29 30 93662.99835224888
36 11 53381.77325416934
45 11 92356.54198362464
26 11 230012.58319326464
49 1 78717.99817442388
47 1 132371.9926014877
5 36 100371.75010419812
40 36 58757.099257754424
45 29 79831.29409019728
17 29 135864.31399548915
24 29 109919.39235885709
47 29 117763.64133785469
5 45 134881.10238372927
20 45 80396.38348530162
39 49 279010.63920770056
37 49 261280.38111075683
32 4 170212.4681032331
12 4 165439.23396394227
44 4 242988.60029754386
33 4 198914.86143091717
21 4 169830.24036662324
12 32 153822.88437194194
14 32 154070.39599346818
33 32 119754.35474234416
3 32 176741.63675387469
14 12 299163.6318330214
9 12 91300.47171039924
9 14 210709.33669355226
26 14 174147.53776191882
50 14 177110.39596129916
3 9 178824.03937487392
33 44 155058.55578583723
21 44 224618.42218015704
22 44 162359.2965087009
28 44 171222.7321123937
6 33 122161.35685307685
28 22 85535.2958744313
23 22 133781.51461239092
6 22 154268.21309499777
39 7 71164.75305251745
8 7 55991.3276317157
23 7 125601.86349984589
16 28 88150.1022581641
37 39 123610.16305613866
40 39 93533.05627627413
8 16 166147.03822184727
5 23 140699.9231683139
6 23 92938.6172560615
40 23 188240.27581388294
6 5 229463.77153814546
26 6 156276.05766621648
20 26 124520.91823928892
19 26 85694.80450759026
10 17 26147.40267973206
20 17 49662.866554731525
19 17 119193.81506010005
34 10 47443.48574857222
24 10 112152.1350339434
25 34 53538.348862714985
43 24 83042.41593216777
25 24 86740.09822700707
19 20 113424.13690185362
43 47 69356.31101705649
50 19 90953.46103532969
25 43 155351.85592071078
25 46 82262.46548762325
48 46 105753.26687534428
31 46 118898.9301903167
50 46 149547.80270453804
18 25 132125.63615656307
2 48 101476.49515354102
18 31 157432.65217895815
27 31 126932.63139299367
2 35 77043.69761592624
27 35 146706.80322517347
41 35 215046.48294370706
38 35 166070.30819850307
42 35 109091.71515778724
50 2 189305.106734008
42 41 159313.63751576355
3 38 73608.5385891647
50 38 120081.9803637568
42 38 133222.59617298344
