35 L
35 
1 3
2 6
3 4
4 5
5 4
6 2
7 7
8 4
9 5
10 7
11 2
12 5
13 3
14 2
15 5
16 4
17 5
18 7
19 3
20 2
21 3
22 6
23 5
24 5
25 4
26 5
27 5
28 4
29 9
30 5
31 4
32 3
33 8
34 4
35 5
1 25 786227.7058264274
1 31 745645.2813263779
1 33 1300566.5506934815
2 4 673930.5299244394
2 7 1046321.8155702302
2 10 823014.5617491127
2 15 1106909.5925752393
2 22 1349105.9620274603
2 29 1716847.583215421
3 13 360727.22992764256
3 16 276940.83453593333
3 18 829660.8592615249
3 34 533373.321663489
4 15 1025500.5147685602
4 18 589889.1784946608
4 26 1427790.8718065883
4 28 1192335.0418831639
5 7 1933236.8965083088
5 19 743100.0770393715
5 25 555595.0559214489
5 29 1117345.04733564
6 26 318097.0418671117
6 28 760725.577683415
7 10 1371076.7706936034
7 22 742033.5990989388
7 25 2074395.407777325
7 29 1201938.910830024
7 33 1098074.6709026538
8 10 902248.0508160581
8 15 659270.3559778534
8 24 347597.235053147
8 32 362209.2151934303
9 12 1152443.7458168832
9 14 493913.0800671045
9 20 895581.9571667844
9 23 1168498.3173413328
9 29 1536286.3080940363
10 12 524418.5782715862
10 15 802012.3046508967
10 24 902283.8087715029
10 29 1338403.1371758652
11 16 1040144.263688144
11 34 471716.1942038576
12 23 1571248.0556263356
12 24 671959.0485850284
12 29 1130802.0535164434
13 17 491222.69883266074
13 34 452616.9555366168
14 23 1078130.8595732858
15 26 1507036.4221398935
16 18 705715.0968007795
16 28 594085.91749529
17 22 2327399.437808874
17 27 1789586.934680123
17 34 748903.2940989567
17 35 2464500.0593761466
18 22 1803043.582099865
18 26 1496840.9555454587
18 27 2486902.665060899
18 28 893607.7542039076
19 23 312971.62288597977
19 29 950934.8751446768
20 24 373272.14636914147
21 27 1752786.5389265756
21 30 798693.541660066
21 31 1157494.4213429953
22 33 1006459.8601256368
22 35 774718.6076525042
23 29 943628.0500954511
24 32 588663.7834929476
25 33 1646885.2546202077
26 32 1965312.0255006058
27 30 1385526.7699223603
27 35 1191563.605610517
29 33 1768203.8614255253
30 31 1199202.6982425475
30 33 878724.3714204933
30 35 457672.410281731
31 33 916491.0296642943
33 35 938869.8826023723
