16 L
16 
1 8
2 6
3 5
4 6
5 5
6 5
7 11
8 5
9 7
10 6
11 4
12 6
13 7
14 6
15 9
16 2
1 2 1.6757954814703979E7
1 5 7647156.818983654
1 6 1.5800425384004679E7
1 7 5956692.022213655
1 8 1.3334499233338708E7
1 12 3715208.5672015566
1 13 1.3601251195598507E7
1 15 1.1940752854440033E7
2 5 1.5517325800343052E7
2 6 4901302.237955366
2 12 1.4974805603465846E7
2 13 7922945.72709303
2 15 8323665.733814163
3 4 9261283.07629225
3 6 4558916.22263967
3 7 1.3333337419208856E7
3 8 7466120.734311262
3 11 1.6008717842953023E7
4 7 5617307.241603792
4 8 9122181.239972146
4 9 1.7678690974360347E7
4 10 8155241.521239508
4 11 9021409.663424358
5 12 9080901.564136455
5 13 1.0544527866164654E7
5 15 9474247.448226398
6 7 1.6755759582417449E7
6 8 8036985.1186852455
7 8 1.4092689815421693E7
7 9 1.3435827316292351E7
7 10 1.3751137157896714E7
7 12 2876825.1991569456
7 13 9246272.36501824
7 14 4892869.331079748
7 15 1.6420576346739229E7
9 10 1.260396096370259E7
9 11 1.0611439686586875E7
9 14 1.798810121523786E7
9 15 3018211.074270232
9 16 7311134.731906309
10 11 1.678486586353862E7
10 14 9383815.482073296
10 15 9796953.105348064
12 13 1.0182223937405938E7
12 15 1.563255505813646E7
13 14 5794252.303765287
13 15 1.4075352851729272E7
14 15 1.8192068924253866E7
14 16 1.461449561428802E7
