65 L
65 
1 3
2 3
3 3
4 2
5 2
6 2
7 2
8 2
9 3
10 6
11 1
12 2
13 6
14 4
15 3
16 4
17 3
18 2
19 2
20 2
21 2
22 3
23 2
24 5
25 4
26 3
27 3
28 10
29 2
30 10
31 5
32 2
33 5
34 2
35 5
36 2
37 2
38 3
39 4
40 5
41 3
42 3
43 3
44 2
45 6
46 4
47 3
48 2
49 3
50 2
51 3
52 3
53 3
54 2
55 6
56 2
57 2
58 3
59 7
60 3
61 2
62 2
63 6
64 2
65 3
1 31 3351229.116694687
3 30 1.1668092054067682E7
5 51 4705078.110543642
5 25 3176009.9369476833
8 35 1.0296110639610877E7
8 45 6594453.876342405
9 30 5449512.233538284
10 30 7057107.334224919
10 42 4529922.2402913235
10 2 2454825.6381291454
13 23 5821038.392878069
13 62 9745506.994301634
14 22 7019083.298357669
14 1 3122034.6152639375
15 59 7559030.226658541
16 7 3709302.1630770643
17 19 5530249.124726315
17 6 4165100.137895498
18 64 4105324.997997214
18 44 6748228.472598874
19 45 5334585.831276595
21 58 3445709.359328235
21 9 4943422.176553077
22 41 4977166.8968851175
24 51 5994075.299644898
24 48 4377281.845216396
24 26 5296413.796586878
25 61 2522344.9543235144
26 15 5757325.882263583
27 49 4648133.848511996
27 17 8756652.090480026
28 32 4639493.972829758
28 30 9948541.865084657
28 29 7227532.748574758
28 31 8148953.65148009
29 30 2983957.928225388
31 32 3728052.208591943
33 9 6660728.998627897
33 10 9708227.602730524
33 38 7375520.310529787
33 30 7858960.49175055
34 55 3702793.7706031515
34 64 5544938.670490872
35 12 6893004.558930156
35 11 3157790.2611946794
36 50 3755592.771756811
37 54 1407905.829098857
37 46 1104386.5604662746
38 25 1221555.1433653801
38 20 4715127.127906567
39 31 4851361.676286528
39 2 807274.6518892662
40 7 2750827.3044826193
40 50 5982780.044467488
41 23 4639109.180354678
42 45 3632751.27782894
43 1 2000875.2659461424
43 13 6394480.030494107
44 56 6447427.906890567
45 35 1.6743212976576349E7
47 42 4428802.8461479135
47 45 3182009.42285036
48 61 3558621.781197518
49 4 984191.6736990513
49 26 3709016.742205262
52 3 4774974.564847642
52 30 9771073.014246786
53 28 1.1917363694693722E7
53 22 3916202.1434040274
53 36 4377099.596448531
54 2 3131666.192175135
55 52 5137656.652416136
55 56 2930848.4732073904
55 51 1.1742169705605704E7
58 30 1.1438626148155868E7
58 20 1948891.2416505276
59 45 1.7919714344019428E7
59 4 1414255.2409067957
59 57 7785834.739252308
60 57 6824588.66161697
60 12 4831826.959828006
62 16 4011830.0827299664
63 25 9307106.089807894
63 27 5715260.458482951
63 33 5652778.92979405
63 6 4543914.829327123
65 46 5157551.744087385
65 43 4317550.240728801
3 28 1.1037390165556442E7
10 28 9335290.265659919
10 47 3377337.157264148
31 14 5834598.74322622
14 41 4555183.416869318
16 13 1.3312473224551663E7
24 15 9917339.353790764
39 28 7179750.58969181
39 46 2742460.7418444725
40 13 1.6008602241551466E7
40 16 3432715.777724195
40 30 1.277967397531604E7
46 28 9868344.696266267
55 24 1.3761028561485363E7
55 28 1.2614129252561895E7
59 35 4416819.680393878
59 60 7222287.005134947
63 30 1.29427167880188E7
63 59 9501908.109788561
65 13 5173055.238637384
